id_cliente,id_producto,cantidad,monto,fecha
cliente_3514,producto_47,10,636.91,2024-05-06
cliente_2071,producto_35,3,228.99,2023-06-20
cliente_2238,producto_21,1,80.26,2024-02-02
cliente_1216,producto_2,3,138.56,2024-05-24
cliente_1763,producto_30,2,145.65,2023-06-18
cliente_4652,producto_8,4,103.61,2023-06-30
cliente_3451,producto_20,5,494.85,2023-09-07
cliente_1315,producto_30,1,88.67,2024-04-04
cliente_1724,producto_12,7,268.01,2023-10-29
cliente_1093,producto_35,4,340.8,2023-07-18
cliente_4695,producto_24,3,251.67,2023-10-06
cliente_3529,producto_36,7,567.84,2024-04-20
cliente_2663,producto_32,10,309.27,2023-12-15
cliente_3897,producto_40,5,489.75,2024-04-30
cliente_1981,producto_29,6,312.64,2023-10-16
cliente_2955,producto_13,5,228.74,2023-09-03
cliente_4904,producto_26,10,159.77,2024-01-10
cliente_4347,producto_28,1,89.32,2023-12-11
cliente_3558,producto_43,8,204.64,2023-08-03
cliente_4734,producto_9,6,572.17,2023-12-18
cliente_4068,producto_30,2,68.5,2024-02-12
cliente_3632,producto_5,4,118.19,2023-11-30
cliente_864,producto_36,7,269.03,2024-03-06
cliente_2456,producto_50,9,470.08,2024-01-12
cliente_2291,producto_30,5,60.03,2023-10-15
cliente_891,producto_36,6,101.67,2023-07-03
cliente_2400,producto_4,4,152.57,2023-12-18
cliente_3425,producto_40,8,310.12,2024-05-11
cliente_1985,producto_5,4,263.87,2024-03-10
cliente_3756,producto_22,1,11.61,2023-11-20
cliente_1579,producto_35,8,319.14,2024-02-24
cliente_881,producto_16,8,269.65,2024-06-11
cliente_3129,producto_31,5,424.57,2024-03-24
cliente_3623,producto_12,2,60.29,2023-06-17
cliente_2206,producto_46,4,79.14,2023-11-01
cliente_4280,producto_40,2,46.19,2023-11-16
cliente_2285,producto_27,9,487.22,2023-11-22
cliente_419,producto_31,7,679.42,2023-09-20
cliente_4738,producto_38,3,92.16,2024-03-28
cliente_872,producto_19,4,145.51,2023-06-28
cliente_4249,producto_23,9,807.42,2023-10-02
cliente_2452,producto_39,2,57.21,2024-01-29
cliente_3877,producto_36,5,52.47,2024-05-31
cliente_2779,producto_18,1,56.96,2023-12-30
cliente_2489,producto_39,7,270.19,2024-02-21
cliente_1299,producto_28,1,67.72,2024-05-14
cliente_366,producto_32,9,307.43,2024-03-26
cliente_4682,producto_13,4,189.21,2023-07-09
cliente_1488,producto_27,5,182.04,2024-01-28
cliente_3873,producto_26,8,610.44,2023-06-27
cliente_639,producto_7,2,186.82,2024-03-16
cliente_4225,producto_15,5,476.02,2023-11-23
cliente_3390,producto_42,4,163.67,2023-09-01
cliente_1295,producto_4,8,698.36,2024-02-12
cliente_3056,producto_34,5,398.8,2023-12-28
cliente_3568,producto_38,10,525.58,2024-05-03
cliente_1894,producto_26,2,84.51,2023-08-01
cliente_1706,producto_8,9,761.7,2023-11-01
cliente_1050,producto_44,10,187.15,2023-07-19
